date,hour,demand
2021-03-01,0,53.0
2021-03-01,1,53.0
2021-03-01,2,53.0
2021-03-01,3,52.0
2021-03-01,5,51.0
2021-03-01,6,52.0
2021-03-01,7,67.0
2021-03-01,8,75.0
2021-03-01,9,76.0
2021-03-01,10,74.0
2021-03-01,11,82.0
2021-03-01,12,88.0
2021-03-01,13,90.0
2021-03-01,14,91.0
2021-03-01,15,91.0
2021-03-01,16,95.0
2021-03-01,17,100.0
2021-03-01,18,100.0
2021-03-01,19,96.0
2021-03-01,20,93.0
2021-03-01,21,87.0
2021-03-01,22,72.0
2021-03-01,23,70.0
2021-03-02,0,67.0
2021-03-02,1,55.0
2021-03-02,2,55.0
2021-03-02,4,53.0
2021-03-02,6,53.0
2021-03-02,7,67.0
2021-03-02,8,75.0
2021-03-02,9,76.0
2021-03-02,10,74.0
2021-03-02,11,82.0
2021-03-02,12,87.0
2021-03-02,13,90.0
2021-03-02,14,90.0
2021-03-02,15,90.0
2021-03-02,16,94.0
2021-03-02,17,99.0
2021-03-02,18,99.0
2021-03-02,19,95.0
2021-03-02,20,92.0
2021-03-02,21,86.0
2021-03-02,22,66.0
2021-03-02,23,66.0
2021-03-03,0,69.0
2021-03-03,2,58.0
2021-03-03,3,56.0
2021-03-03,4,56.0
2021-03-03,5,56.0
2021-03-03,6,56.0
2021-03-03,7,66.0
2021-03-03,8,74.0
2021-03-03,9,75.0
2021-03-03,10,73.0
2021-03-03,11,81.0
2021-03-03,12,85.0
2021-03-03,13,87.0
2021-03-03,14,87.0
2021-03-03,15,87.0
2021-03-03,16,91.0
2021-03-03,17,94.0
2021-03-03,18,95.0
2021-03-03,19,95.0
2021-03-03,20,93.0
2021-03-03,21,87.0
2021-03-03,22,72.0
2021-03-03,23,65.0
2021-03-04,0,57.0
2021-03-04,1,56.0
2021-03-04,2,56.0
2021-03-04,4,55.0
2021-03-04,6,55.0
2021-03-04,7,66.0
2021-03-04,8,74.0
2021-03-04,9,76.0
2021-03-04,10,74.0
2021-03-04,11,75.0
2021-03-04,12,79.0
2021-03-04,13,79.0
2021-03-04,14,79.0
2021-03-04,15,79.0
2021-03-04,16,83.0
2021-03-04,17,86.0
2021-03-04,18,85.0
2021-03-04,19,83.0
2021-03-04,20,79.0
2021-03-04,21,73.0
2021-03-04,22,71.0
2021-03-04,23,66.0
2021-03-05,0,54.0
2021-03-05,1,53.0
2021-03-05,2,53.0
2021-03-05,3,52.0
2021-03-05,4,52.0
