,MMM-YY,Driver_ID,Age,Gender,City,Education_Level,Income,Dateofjoining,LastWorkingDate,Joining Designation,Grade,Total Business Value,Quarterly Rating
0,1/1/2019,1,28,0,C23,2,57387,24/12/18,,1,1,2381060,2
1,2/1/2019,1,28,0,C23,2,57387,24/12/18,,1,1,-665480,2
2,3/1/2019,1,28,0,C23,2,57387,24/12/18,3/11/2019,1,1,0,2
3,11/1/2020,2,31,0,C7,2,67016,11/6/2020,,2,2,0,1
4,12/1/2020,2,31,0,C7,2,67016,11/6/2020,,2,2,0,1
5,12/1/2019,4,43,0,C13,2,65603,12/7/2019,,2,2,0,1
6,1/1/2020,4,43,0,C13,2,65603,12/7/2019,,2,2,0,1
7,2/1/2020,4,43,0,C13,2,65603,12/7/2019,,2,2,0,1
8,3/1/2020,4,43,0,C13,2,65603,12/7/2019,,2,2,350000,1
9,4/1/2020,4,43,0,C13,2,65603,12/7/2019,27/04/20,2,2,0,1
10,1/1/2019,5,29,0,C9,0,46368,1/9/2019,,1,1,0,1
11,2/1/2019,5,29,0,C9,0,46368,1/9/2019,,1,1,120360,1
12,3/1/2019,5,29,0,C9,0,46368,1/9/2019,3/7/2019,1,1,0,1
13,8/1/2020,6,31,1,C11,1,78728,31/07/20,,3,3,0,1
14,9/1/2020,6,31,1,C11,1,78728,31/07/20,,3,3,0,1
15,10/1/2020,6,31,1,C11,1,78728,31/07/20,,3,3,0,2
16,11/1/2020,6,31,1,C11,1,78728,31/07/20,,3,3,1265000,2
17,12/1/2020,6,31,1,C11,1,78728,31/07/20,,3,3,0,2
18,9/1/2020,8,34,0,C2,0,70656,19/09/20,,3,3,0,1
19,10/1/2020,8,34,0,C2,0,70656,19/09/20,,3,3,0,1
20,11/1/2020,8,34,0,C2,0,70656,19/09/20,15/11/20,3,3,0,1
21,12/1/2020,11,28,1,C19,2,42172,12/7/2020,,1,1,0,1
22,7/1/2019,12,35,0,C23,2,28116,29/06/19,,1,1,500000,4
23,8/1/2019,12,35,0,C23,2,28116,29/06/19,,1,1,1707180,4
24,9/1/2019,12,35,0,C23,2,28116,29/06/19,,1,1,400000,4
25,10/1/2019,12,35,0,C23,2,28116,29/06/19,,1,1,0,1
26,11/1/2019,12,35,0,C23,2,28116,29/06/19,,1,1,0,1
27,12/1/2019,12,35,0,C23,2,28116,29/06/19,21/12/19,1,1,0,1
28,1/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,250000,1
29,2/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,1719680,1
